record_id,title,venue,venue_family,year,route_G,route_R,route_P,route_membership,abstract_available,eligibility_decision,reason_code,reason_label,decision_evidence
P01265,One-Shot Learning for Long-Tail Visual Relation Detection.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: One-Shot Learning for Long-Tail Visual Relation Detection.
P01300,Parallel AND/OR Search for Marginal MAP.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Parallel AND/OR Search for Marginal MAP.
P01309,Partial Label Learning with Batch Label Correction.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Partial Label Learning with Batch Label Correction.
P01319,Pay Your Trip for Traffic Congestion: Dynamic Pricing in Traffic-Aware Road Networks.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Pay Your Trip for Traffic Congestion: Dynamic Pricing in Traffic-Aware Road Networks.
P01356,Predicting Propositional Satisfiability via End-to-End Learning.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Predicting Propositional Satisfiability via End-to-End Learning.
P01391,Quadruply Stochastic Gradient Method for Large Scale Nonlinear Semi-Supervised Ordinal Regression AUC Optimization.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Quadruply Stochastic Gradient Method for Large Scale Nonlinear Semi-Supervised Ordinal Regression AUC Optimization.
P01494,RIS-GAN: Explore Residual and Illumination with Generative Adversarial Networks for Shadow Removal.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: RIS-GAN: Explore Residual and Illumination with Generative Adversarial Networks for Shadow Removal.
P01495,RiskOracle: A Minute-Level Citywide Traffic Accident Forecasting Framework.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: RiskOracle: A Minute-Level Citywide Traffic Accident Forecasting Framework.
P01611,Spatio-Temporal Graph Structure Learning for Traffic Forecasting.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Spatio-Temporal Graph Structure Learning for Traffic Forecasting.
P01676,TellTail: Fast Scoring and Detection of Dense Subgraphs.,AAAI,Artificial intelligence,2020,false,true,false,R,true,Excluded,E04,No learned classifier,Title and abstract do not describe a learned classifier.
P01678,Temporal Context Enhanced Feature Aggregation for Video Object Detection.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Temporal Context Enhanced Feature Aggregation for Video Object Detection.
P01695,The Complexity of Computing Maximin Share Allocations on Graphs.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: The Complexity of Computing Maximin Share Allocations on Graphs.
P01718,Toward A Thousand Lights: Decentralized Deep Reinforcement Learning for Large-Scale Traffic Signal Control.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Toward A Thousand Lights: Decentralized Deep Reinforcement Learning for Large-Scale Traffic Signal Control.
P01767,Tweedie-Hawkes Processes: Interpreting the Phenomena of Outbreaks.,AAAI,Artificial intelligence,2020,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Tweedie-Hawkes Processes: Interpreting the Phenomena of Outbreaks.
P01941,A Theory of Independent Mechanisms for Extrapolation in Generative Models.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: A Theory of Independent Mechanisms for Extrapolation in Generative Models.
P02006,Algebra of Modular Systems: Containment and Equivalence.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Algebra of Modular Systems: Containment and Equivalence.
P02043,Appearance-Motion Memory Consistency Network for Video Anomaly Detection.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Appearance-Motion Memory Consistency Network for Video Anomaly Detection.
P02051,Artificial Dummies for Urban Dataset Augmentation.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Artificial Dummies for Urban Dataset Augmentation.
P02064,Attr2Style: A Transfer Learning Approach for Inferring Fashion Styles via Apparel Attributes.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Attr2Style: A Transfer Learning Approach for Inferring Fashion Styles via Apparel Attributes.
P02108,Bi-Classifier Determinacy Maximization for Unsupervised Domain Adaptation.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Bi-Classifier Determinacy Maximization for Unsupervised Domain Adaptation.
P02170,Classifying Sequences of Extreme Length with Constant Memory Applied to Malware Detection.,AAAI,Artificial intelligence,2021,true,false,true,G | P,true,Excluded,E03,No qualifying traffic input,DBLP title: Classifying Sequences of Extreme Length with Constant Memory Applied to Malware Detection.
P02294,Debiasing Evaluations That Are Biased by Evaluations.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Debiasing Evaluations That Are Biased by Evaluations.
P02396,Disentangled Representation Learning in Heterogeneous Information Network for Large-scale Android Malware Detection in the COVID-19 Era and Beyond.,AAAI,Artificial intelligence,2021,true,false,true,G | P,true,Excluded,E03,No qualifying traffic input,DBLP title: Disentangled Representation Learning in Heterogeneous Information Network for Large-scale Android Malware Detection in the COVID-19 Era and Beyond.
P02425,Dual Adversarial Graph Neural Networks for Multi-label Cross-modal Retrieval.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Dual Adversarial Graph Neural Networks for Multi-label Cross-modal Retrieval.
P02532,Exact Reduction of Huge Action Spaces in General Reinforcement Learning.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Exact Reduction of Huge Action Spaces in General Reinforcement Learning.
P02581,Fairness-aware News Recommendation with Decomposed Adversarial Learning.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Fairness-aware News Recommendation with Decomposed Adversarial Learning.
P02586,Fast and Scalable Adversarial Training of Kernel SVM via Doubly Stochastic Gradients.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Fast and Scalable Adversarial Training of Kernel SVM via Doubly Stochastic Gradients.
P02594,FC-GAGA: Fully Connected Gated Graph Architecture for Spatio-Temporal Traffic Forecasting.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: FC-GAGA: Fully Connected Gated Graph Architecture for Spatio-Temporal Traffic Forecasting.
P02681,Graph Neural Network-Based Anomaly Detection in Multivariate Time Series.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Graph Neural Network-Based Anomaly Detection in Multivariate Time Series.
P02693,GSNet: Learning Spatial-Temporal Correlations from Geographical and Semantic Aspects for Traffic Accident Risk Forecasting.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: GSNet: Learning Spatial-Temporal Correlations from Geographical and Semantic Aspects for Traffic Accident Risk Forecasting.
P02709,Hierarchical Graph Convolution Network for Traffic Forecasting.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Hierarchical Graph Convolution Network for Traffic Forecasting.
P02716,Hierarchically and Cooperatively Learning Traffic Signal Control.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Hierarchically and Cooperatively Learning Traffic Signal Control.
P02761,"Imagine, Reason and Write: Visual Storytelling with Graph Knowledge and Relational Reasoning.",AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,"DBLP title: Imagine, Reason and Write: Visual Storytelling with Graph Knowledge and Relational Reasoning."
P02773,Improving Commonsense Causal Reasoning by Adversarial Training and Data Augmentation.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Improving Commonsense Causal Reasoning by Adversarial Training and Data Augmentation.
P02803,Inferring Emotion from Large-scale Internet Voice Data: A Semi-supervised Curriculum Augmentation based Deep Learning Approach.,AAAI,Artificial intelligence,2021,false,false,true,P,true,Excluded,E13,Non-primary classifier study,Title and abstract describe a non-primary classifier study.
P02886,Latent Independent Excitation for Generalizable Sensor-based Cross-Person Activity Recognition.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,"The study's input is human-activity sensor/video data rather than network packets, flows, sessions, or traffic traces."
P02964,Learning Visual Context for Group Activity Recognition.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,"The study's input is human-activity sensor/video data rather than network packets, flows, sessions, or traffic traces."
P03241,Physics-Informed Deep Learning for Traffic State Estimation: A Hybrid Paradigm Informed By Second-Order Traffic Models.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,"The study's input is road/urban mobility measurements rather than network packets, flows, sessions, or traffic traces."
P03339,Regularizing Attention Networks for Anomaly Detection in Visual Question Answering.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Regularizing Attention Networks for Anomaly Detection in Visual Question Answering.
P03345,Reinforcement Learning of Sequential Price Mechanisms.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Reinforcement Learning of Sequential Price Mechanisms.
P03348,Reinforcement Learning-based Product Delivery Frequency Control.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Reinforcement Learning-based Product Delivery Frequency Control.
P03368,Restricted Domains of Dichotomous Preferences with Possibly Incomplete Information.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Restricted Domains of Dichotomous Preferences with Possibly Incomplete Information.
P03450,Searching for Machine Learning Pipelines Using a Context-Free Grammar.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Searching for Machine Learning Pipelines Using a Context-Free Grammar.
P03531,Spatial-Temporal Fusion Graph Neural Networks for Traffic Flow Forecasting.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Spatial-Temporal Fusion Graph Neural Networks for Traffic Flow Forecasting.
P03589,Synchronous Interactive Decoding for Multilingual Neural Machine Translation.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Synchronous Interactive Decoding for Multilingual Neural Machine Translation.
P03654,Thou Shalt Love Thy Neighbor as Thyself When Thou Playest: Altruism in Game Theory.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Thou Shalt Love Thy Neighbor as Thyself When Thou Playest: Altruism in Game Theory.
P03670,Topology Distance: A Topology-Based Approach for Evaluating Generative Adversarial Networks.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Topology Distance: A Topology-Based Approach for Evaluating Generative Adversarial Networks.
P03671,Topology-Aware Correlations Between Relations for Inductive Link Prediction in Knowledge Graphs.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Topology-Aware Correlations Between Relations for Inductive Link Prediction in Knowledge Graphs.
P03702,Traffic Flow Forecasting with Spatial-Temporal Graph Diffusion Network.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Traffic Flow Forecasting with Spatial-Temporal Graph Diffusion Network.
P03703,Traffic Flow Prediction with Vehicle Trajectories.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Traffic Flow Prediction with Vehicle Trajectories.
P03704,Traffic Shaping in E-Commercial Search Engine: Multi-Objective Online Welfare Maximization.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Traffic Shaping in E-Commercial Search Engine: Multi-Objective Online Welfare Maximization.
P03727,Two-Stream Convolution Augmented Transformer for Human Activity Recognition.,AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,"The study's input is human-activity sensor/video data rather than network packets, flows, sessions, or traffic traces."
P03814,"Where there's Smoke, there's Fire: Wildfire Risk Predictive Modeling via Historical Climate Data.",AAAI,Artificial intelligence,2021,true,false,false,G,true,Excluded,E03,No qualifying traffic input,"DBLP title: Where there's Smoke, there's Fire: Wildfire Risk Predictive Modeling via Historical Climate Data."
P03836,A Computable Definition of the Spectral Bias.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: A Computable Definition of the Spectral Bias.
P03850,A GNN-RNN Approach for Harnessing Geospatial and Temporal Information: Application to Crop Yield Prediction.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: A GNN-RNN Approach for Harnessing Geospatial and Temporal Information: Application to Crop Yield Prediction.
P03858,A Machine Learning Method for EV Range Prediction with Updates on Route Information and Traffic Conditions.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: A Machine Learning Method for EV Range Prediction with Updates on Route Information and Traffic Conditions.
P03879,A Tale of Color Variants: Representation and Self-Supervised Learning in Fashion E-commerce.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: A Tale of Color Variants: Representation and Self-Supervised Learning in Fashion E-commerce.
P03901,Adapt to Environment Sudden Changes by Learning a Context Sensitive Policy.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Adapt to Environment Sudden Changes by Learning a Context Sensitive Policy.
P03975,ASM2TV: An Adaptive Semi-supervised Multi-Task Multi-View Learning Framework for Human Activity Recognition.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,"The study's input is human-activity sensor/video data rather than network packets, flows, sessions, or traffic traces."
P04104,Comprehensive Regularization in a Bi-directional Predictive Network for Video Anomaly Detection.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Comprehensive Regularization in a Bi-directional Predictive Network for Video Anomaly Detection.
P04165,Cross-Modal Federated Human Activity Recognition via Modality-Agnostic and Modality-Specific Representation Learning.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,"The study's input is human-activity sensor/video data rather than network packets, flows, sessions, or traffic traces."
P04186,Deceptive Decision-Making under Uncertainty.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Deceptive Decision-Making under Uncertainty.
P04229,Delving into Sample Loss Curve to Embrace Noisy and Imbalanced Data.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Delving into Sample Loss Curve to Embrace Noisy and Imbalanced Data.
P04423,Fixation Maximization in the Positional Moran Process.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Fixation Maximization in the Positional Moran Process.
P04448,Fully Attentional Network for Semantic Segmentation.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Fully Attentional Network for Semantic Segmentation.
P04488,Graph Neural Controlled Differential Equations for Traffic Forecasting.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Graph Neural Controlled Differential Equations for Traffic Forecasting.
P04583,Inferring Prototypes for Multi-Label Few-Shot Image Classification with Word Vector Guided Attention.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Inferring Prototypes for Multi-Label Few-Shot Image Classification with Word Vector Guided Attention.
P04588,InsCLR: Improving Instance Retrieval with Self-Supervision.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: InsCLR: Improving Instance Retrieval with Self-Supervision.
P04749,Machine-Learned Prediction Equilibrium for Dynamic Traffic Assignment.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Machine-Learned Prediction Equilibrium for Dynamic Traffic Assignment.
P04756,Market Design for Drone Traffic Management.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Market Design for Drone Traffic Management.
P04786,MobileFaceSwap: A Lightweight Framework for Video Face Swapping.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: MobileFaceSwap: A Lightweight Framework for Video Face Swapping.
P04830,Multiple-Source Domain Adaptation via Coordinated Domain Encoders and Paired Classifiers.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Multiple-Source Domain Adaptation via Coordinated Domain Encoders and Paired Classifiers.
P04856,NICE: Robust Scheduling through Reinforcement Learning-Guided Integer Programming.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: NICE: Robust Scheduling through Reinforcement Learning-Guided Integer Programming.
P05063,Rethinking Pseudo Labels for Semi-supervised Object Detection.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Rethinking Pseudo Labels for Semi-supervised Object Detection.
P05100,Scaled ReLU Matters for Training Vision Transformers.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Scaled ReLU Matters for Training Vision Transformers.
P05215,STDEN: Towards Physics-Guided Neural Networks for Traffic Flow Prediction.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: STDEN: Towards Physics-Guided Neural Networks for Traffic Flow Prediction.
P05359,TVT: Three-Way Vision Transformer through Multi-Modal Hypersphere Learning for Zero-Shot Sketch-Based Image Retrieval.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: TVT: Three-Way Vision Transformer through Multi-Modal Hypersphere Learning for Zero-Shot Sketch-Based Image Retrieval.
P05362,Two-Stage Octave Residual Network for End-to-End Image Compression.,AAAI,Artificial intelligence,2022,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Two-Stage Octave Residual Network for End-to-End Image Compression.
P05456,3D Human Pose Lifting with Grid Convolution.,AAAI,Artificial intelligence,2023,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: 3D Human Pose Lifting with Grid Convolution.
P05490,A New Challenge in Policy Evaluation.,AAAI,Artificial intelligence,2023,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: A New Challenge in Policy Evaluation.
P05512,A Tale of Two Latent Flows: Learning Latent Space Normalizing Flow with Short-Run Langevin Flow for Approximate Inference.,AAAI,Artificial intelligence,2023,true,false,true,G | P,true,Excluded,E03,No qualifying traffic input,"The study's input is generic statistical/ML data rather than network packets, flows, sessions, or traffic traces."
P05702,Causal Conditional Hidden Markov Model for Multimodal Traffic Prediction.,AAAI,Artificial intelligence,2023,true,false,false,G,true,Excluded,E03,No qualifying traffic input,"The study's input is road/urban mobility measurements rather than network packets, flows, sessions, or traffic traces."
P05712,CEM: Constrained Entropy Maximization for Task-Agnostic Safe Exploration.,AAAI,Artificial intelligence,2023,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: CEM: Constrained Entropy Maximization for Task-Agnostic Safe Exploration.
P05723,Characterizing Structural Hardness of Logic Programs: What Makes Cycles and Reachability Hard for Treewidth?,AAAI,Artificial intelligence,2023,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Characterizing Structural Hardness of Logic Programs: What Makes Cycles and Reachability Hard for Treewidth?
P05725,City-Scale Pollution Aware Traffic Routing by Sampling Max Flows Using MCMC.,AAAI,Artificial intelligence,2023,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: City-Scale Pollution Aware Traffic Routing by Sampling Max Flows Using MCMC.
P05786,Consensus Learning for Cooperative Multi-Agent Reinforcement Learning.,AAAI,Artificial intelligence,2023,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Consensus Learning for Cooperative Multi-Agent Reinforcement Learning.
P05861,CSTAR: Towards Compact and Structured Deep Neural Networks with Adversarial Robustness.,AAAI,Artificial intelligence,2023,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: CSTAR: Towards Compact and Structured Deep Neural Networks with Adversarial Robustness.
P05906,Defending Black-Box Skeleton-Based Human Activity Classifiers.,AAAI,Artificial intelligence,2023,true,false,false,G,true,Excluded,E03,No qualifying traffic input,"The study's input is human-activity sensor/video data rather than network packets, flows, sessions, or traffic traces."
P05927,Detecting VoIP Data Streams: Approaches Using Hidden Representation Learning.,AAAI,Artificial intelligence,2023,true,true,false,G | R,true,Included,I01,Included,"Full text confirms passive traffic input, a data-learned predictor, a fixed mutually exclusive label scheme, and central evaluation."
P05938,Differentiable Meta Multigraph Search with Partial Message Propagation on Heterogeneous Information Networks.,AAAI,Artificial intelligence,2023,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Differentiable Meta Multigraph Search with Partial Message Propagation on Heterogeneous Information Networks.
P05967,DM²: Decentralized Multi-Agent Reinforcement Learning via Distribution Matching.,AAAI,Artificial intelligence,2023,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: DM²: Decentralized Multi-Agent Reinforcement Learning via Distribution Matching.
P06097,Explaining Random Forests Using Bipolar Argumentation and Markov Networks.,AAAI,Artificial intelligence,2023,true,false,false,G,true,Excluded,E03,No qualifying traffic input,DBLP title: Explaining Random Forests Using Bipolar Argumentation and Markov Networks.
