design_id,paper_id,task_family,task_name,label_semantics,class_cardinality,class_type,dataset_ids,scheme_ids,training_description,validation_description,test_description,split_design_primary,split_design_secondary,split_unit,split_grouping,eligibility_status,exclusion_reason,evidence_ids
DES0021,P14955,security_state_classification,Tor malware detection with PCAP-level splitting,benign Tor browsing versus Tor malware traffic,2,binary,DS-ISCX-TOR-2016 | DS-P14955-TOR-MALWARE-INITIAL-2021,SCH0088 | SCH0089,Random 70 percent PCAP portion,Not reported,Random 30 percent PCAP portion,random_holdout,pcap_level,pcap,sample_level,eligible,,EVD1707
DES0022,P14955,security_state_classification,Later-campaign zero-day Tor malware detection,benign Tor browsing versus Tor malware traffic,2,binary,DS-P14955-TOR-MALWARE-INITIAL-2021 | DS-P14955-TOR-MALWARE-ZERODAY-2021,SCH0088 | SCH0090,Initial June through September 2021 campaign,Not reported,Fresh December 2021 campaign,temporal_holdout,fresh_malware_binaries,tor_connection,collection_campaign,eligible,,EVD1708
DES0023,P15558,security_state_classification,intrusion detection,benign versus intrusion traffic,2,binary,DS-CIC-IDS-2017,SCH0096,Pooled 80 percent training portion,Fourfold validation within the remaining portion,Held-out benchmark portion,percentage_holdout,benchmark_task,flow,sample_level,eligible,,EVD1712 | EVD1711
DES0024,P15558,security_state_classification,intrusion detection,benign versus intrusion traffic,2,binary,DS-CSE-CIC-IDS-2018,SCH0097,Pooled 80 percent training portion,Fourfold validation within the remaining portion,Held-out benchmark portion,percentage_holdout,benchmark_task,flow,sample_level,eligible,,EVD1712 | EVD1711
DES0025,P15558,security_state_classification,distributed denial-of-service attack detection,benign versus distributed denial-of-service attack traffic,2,binary,DS-CIC-DDOS-2019,SCH0098,Pooled 80 percent training portion,Fourfold validation within the remaining portion,Held-out benchmark portion,percentage_holdout,benchmark_task,flow,sample_level,eligible,,EVD1712 | EVD1711
DES0026,P15558,security_state_classification,Cross-network amplification flood detection,benign versus amplification flood traffic,2,binary,DS-HYPERVISION | DS-P15558-INSTITUTIONAL-2024,SCH0099 | SCH0100,HyperVision amplification training traffic,HyperVision validation data,Independent three-day institutional deployment,cross_dataset_holdout,operational_deployment,flow,dataset_provenance,eligible,,EVD1713
DES0027,P15558,security_state_classification,amplification flood detection,benign versus amplification flood traffic,2,binary,DS-HYPERVISION,SCH0100,Pooled 80 percent training portion,Fourfold validation within the remaining portion,Held-out benchmark portion,percentage_holdout,benchmark_task,flow,sample_level,eligible,,EVD1712 | EVD1711
DES0028,P15558,security_state_classification,application-layer flood detection,benign versus application-layer flood traffic,2,binary,DS-HYPERVISION,SCH0101,Pooled 80 percent training portion,Fourfold validation within the remaining portion,Held-out benchmark portion,percentage_holdout,benchmark_task,flow,sample_level,eligible,,EVD1712 | EVD1711
DES0029,P15558,security_state_classification,brute-force attack detection,benign versus brute-force attack traffic,2,binary,DS-HYPERVISION,SCH0102,Pooled 80 percent training portion,Fourfold validation within the remaining portion,Held-out benchmark portion,percentage_holdout,benchmark_task,flow,sample_level,eligible,,EVD1712 | EVD1711
DES0030,P15558,security_state_classification,low-frequency attack detection,benign versus low-frequency attack traffic,2,binary,DS-HYPERVISION,SCH0103,Pooled 80 percent training portion,Fourfold validation within the remaining portion,Held-out benchmark portion,percentage_holdout,benchmark_task,flow,sample_level,eligible,,EVD1712 | EVD1711
DES0031,P15558,security_state_classification,low-rate attack detection,benign versus low-rate attack traffic,2,binary,DS-HYPERVISION,SCH0104,Pooled 80 percent training portion,Fourfold validation within the remaining portion,Held-out benchmark portion,percentage_holdout,benchmark_task,flow,sample_level,eligible,,EVD1712 | EVD1711
DES0032,P15558,security_state_classification,spoofed flood detection,benign versus spoofed flood traffic,2,binary,DS-HYPERVISION,SCH0105,Pooled 80 percent training portion,Fourfold validation within the remaining portion,Held-out benchmark portion,percentage_holdout,benchmark_task,flow,sample_level,eligible,,EVD1712 | EVD1711
DES0033,P15558,security_state_classification,SSDP flood detection,benign versus SSDP flood traffic,2,binary,DS-KITSUNE-SSDP-FLOOD,SCH0106,Pooled 80 percent training portion,Fourfold validation within the remaining portion,Held-out benchmark portion,percentage_holdout,benchmark_task,flow,sample_level,eligible,,EVD1712 | EVD1711
DES0034,P15558,security_state_classification,beaconing attack detection,benign versus beaconing attack traffic,2,binary,DS-NETBEACON-TRAFFIC,SCH0107,Pooled 80 percent training portion,Fourfold validation within the remaining portion,Held-out benchmark portion,percentage_holdout,benchmark_task,flow,sample_level,eligible,,EVD1712 | EVD1711
DES0035,P15558,security_state_classification,malicious detection,benign versus malicious traffic,2,binary,DS-WHISPER-MALICIOUS-TRAFFIC,SCH0108,Pooled 80 percent training portion,Fourfold validation within the remaining portion,Held-out benchmark portion,percentage_holdout,benchmark_task,flow,sample_level,eligible,,EVD1712 | EVD1711
DES0036,P16004,security_state_classification,NetFlow DDoS detection,DDoS attack versus normal traffic,2,binary,DS-CIC-DDOS-2019 | DS-MAWI,SCH0111 | SCH0114,The learned FlowSentry detector uses the earliest 70 percent of timestamped benign and DDoS records for training.,No separate validation set is reported.,"The latest 30 percent provides final testing, with temporally separate attack instances rather than continuations.",chronological_train_test_split,70 percent training and 30 percent testing,netflow_record,timestamp before sample assignment,eligible,,EVD1636
DES0037,P16004,security_state_classification,NetFlow DDoS detection,DDoS attack versus normal traffic,2,binary,DS-P16004-TIER1-ISP,SCH0112,The learned FlowSentry detector uses the earliest 70 percent of timestamped benign and DDoS records for training.,No separate validation set is reported.,"The latest 30 percent provides final testing, with temporally separate attack instances rather than continuations.",chronological_train_test_split,70 percent training and 30 percent testing,netflow_record,timestamp before sample assignment,eligible,,EVD1637
DES0038,P16004,security_state_classification,NetFlow DDoS detection,DDoS attack versus normal traffic,2,binary,DS-P16004-CSP,SCH0113,The learned FlowSentry detector uses the earliest 70 percent of timestamped benign and DDoS records for training.,No separate validation set is reported.,"The latest 30 percent provides final testing, with temporally separate attack instances rather than continuations.",chronological_train_test_split,70 percent training and 30 percent testing,netflow_record,timestamp before sample assignment,eligible,,EVD1638
DES0039,P16071,semantic_inference,Browser identification,"Chrome, Firefox, Samsung Internet, and UC Browser",4,multiclass,DS-P17818-FLOWPRINT-BROWSER-SELF-COLLECTED,SCH0115,"A fixed balanced number of flows per class is extracted, then nine tenths are used for training.",One tenth of the balanced selected flows is used for validation each epoch.,"Remaining flows form the test set, with large test classes downsampled. Test flows are excluded from training.",balanced_sample_holdout,nine_to_one_train_validation_then_remaining_test,network_flow,sample_level_after_class_filtering,eligible,,EVD1721 | EVD1720 | EVD1719
DES0040,P16071,semantic_inference,TLS 1.3 website identification,Eighty TLS 1.3 websites,80,multiclass,DS-CSTNET-TLS13-2021,SCH0116,"A fixed balanced number of flows per class is extracted, then nine tenths are used for training.",One tenth of the balanced selected flows is used for validation each epoch.,"Remaining flows form the test set, with large test classes downsampled. Test flows are excluded from training.",balanced_sample_holdout,nine_to_one_train_validation_then_remaining_test,network_flow,sample_level_after_class_filtering,eligible,,EVD1721 | EVD1720 | EVD1719
DES0041,P16071,security_state_classification,Encrypted malware traffic detection,Malware executable traffic versus normal executable traffic,2,binary,DS-DATACON-2020-ENCRYPTED-MALWARE,SCH0117,"A fixed balanced number of flows per class is extracted, then nine tenths are used for training.",One tenth of the balanced selected flows is used for validation each epoch.,"Remaining flows form the test set, with large test classes downsampled. Test flows are excluded from training.",balanced_sample_holdout,nine_to_one_train_validation_then_remaining_test,network_flow,sample_level_after_class_filtering,eligible,,EVD1721 | EVD1720 | EVD1719
DES0042,P16071,semantic_inference,Encrypted proxy traffic classification,"Firefox, V2ray, Clash, Lantern, Netch, and Shadowsocks",6,multiclass,DS-DATACON-2021-ENCRYPTED-PROXY,SCH0118,"A fixed balanced number of flows per class is extracted, then nine tenths are used for training.",One tenth of the balanced selected flows is used for validation each epoch.,"Remaining flows form the test set, with large test classes downsampled. Test flows are excluded from training.",balanced_sample_holdout,nine_to_one_train_validation_then_remaining_test,network_flow,sample_level_after_class_filtering,eligible,,EVD1721 | EVD1720 | EVD1719
DES0043,P16071,semantic_inference,Website identification under encrypted tunnel,Twenty-two websites accessed through one encrypted proxy,22,multiclass,DS-DATACON-2021-ENCRYPTED-PROXY,SCH0119,"A fixed balanced number of flows per class is extracted, then nine tenths are used for training.",One tenth of the balanced selected flows is used for validation each epoch.,"Remaining flows form the test set, with large test classes downsampled. Test flows are excluded from training.",balanced_sample_holdout,nine_to_one_train_validation_then_remaining_test,network_flow,sample_level_after_class_filtering,eligible,,EVD1721 | EVD1720 | EVD1719
DES0044,P16071,semantic_inference,Mobile application identification,Three hundred mobile applications,300,multiclass,DS-NUDT-MOBILETRAFFIC-2020,SCH0120,"A fixed balanced number of flows per class is extracted, then nine tenths are used for training.",One tenth of the balanced selected flows is used for validation each epoch.,"Remaining flows form the test set, with large test classes downsampled. Test flows are excluded from training.",balanced_sample_holdout,nine_to_one_train_validation_then_remaining_test,network_flow,sample_level_after_class_filtering,eligible,,EVD1721 | EVD1720 | EVD1719
DES0045,P16192,endpoint_or_platform_identification,One-time scanner organization identification,known scanner organizations plus trained unknown category,11,multiclass,DS-P16192-360COMPANY22,SCH0121,Earlier 80 percent of the collection period,Training-period threshold selection,Final 20 percent of the collection period,temporal_holdout,one_time_training,service_probe,collection_time,eligible,,EVD1726 | EVD1725
DES0046,P16192,endpoint_or_platform_identification,One-time scanner organization identification,known scanner organizations plus trained unknown category,11,multiclass,DS-P16192-360COMPANY23,SCH0122,Earlier 80 percent of the collection period,Training-period threshold selection,Final 20 percent of the collection period,temporal_holdout,one_time_training,service_probe,collection_time,eligible,,EVD1726 | EVD1725
DES0047,P16192,endpoint_or_platform_identification,Incremental scanner organization identification,known scanner organizations plus trained unknown category,10,multiclass,DS-P16192-SELFDEPLOY24,SCH0123,Weekly data through the preceding update,Training-period threshold selection,"Following week, with the final week reported",temporal_holdout,weekly_incremental_update,service_probe,collection_week,eligible,,EVD1727 | EVD1725
DES0048,P16192,endpoint_or_platform_identification,One-time scanner organization identification,known scanner organizations plus trained unknown category,10,multiclass,DS-P16192-SELFDEPLOY24,SCH0123,Earlier 80 percent of the collection period,Training-period threshold selection,Final 20 percent of the collection period,temporal_holdout,one_time_training,service_probe,collection_time,eligible,,EVD1726 | EVD1725
DES0049,P16192,endpoint_or_platform_identification,Incremental scanner organization identification,known scanner organizations plus trained unknown category,12,multiclass,DS-P16192-SELFDEPLOY25,SCH0124,Weekly data through the preceding update,Training-period threshold selection,"Following week, with the final week reported",temporal_holdout,weekly_incremental_update,service_probe,collection_week,eligible,,EVD1727 | EVD1725
DES0050,P16192,endpoint_or_platform_identification,One-time scanner organization identification,known scanner organizations plus trained unknown category,12,multiclass,DS-P16192-SELFDEPLOY25,SCH0124,Earlier 80 percent of the collection period,Training-period threshold selection,Final 20 percent of the collection period,temporal_holdout,one_time_training,service_probe,collection_time,eligible,,EVD1726 | EVD1725
DES0051,P16192,endpoint_or_platform_identification,Incremental scanner organization identification,known scanner organizations plus trained unknown category,10,multiclass,DS-P16192-SELFDEPLOY25S,SCH0125,Weekly data through the preceding update,Training-period threshold selection,"Following week, with the final week reported",temporal_holdout,weekly_incremental_update,service_probe,collection_week,eligible,,EVD1727 | EVD1725
DES0052,P16192,endpoint_or_platform_identification,One-time scanner organization identification,known scanner organizations plus trained unknown category,10,multiclass,DS-P16192-SELFDEPLOY25S,SCH0125,Earlier 80 percent of the collection period,Training-period threshold selection,Final 20 percent of the collection period,temporal_holdout,one_time_training,service_probe,collection_time,eligible,,EVD1726 | EVD1725
DES0053,P16192,endpoint_or_platform_identification,One-time scanner organization identification,known scanner organizations plus trained unknown category,10,multiclass,DS-P16192-WEBRAY,SCH0126,Earlier 80 percent of the collection period,Training-period threshold selection,Final 20 percent of the collection period,temporal_holdout,one_time_training,service_probe,collection_time,eligible,,EVD1726 | EVD1725
DES0054,P16208,security_state_classification,CIC-DDoS2019 DDoS detection,DDoS attack versus benign,2,binary,DS-CIC-DDOS-2019,SCH0127,Four folds are used for model fitting within each five-fold cross-validation iteration.,No separate validation partition is reported.,One fold is used for evaluation within each five-fold cross-validation iteration.,cross_validation,five_fold,traffic_feature_record,sample_folds_after_pooling,eligible,,EVD1732 | EVD1734 | EVD1731
DES0055,P16208,security_state_classification,CIC-DDoS2019 DDoS detection,DDoS attack versus benign,2,binary,DS-CIC-DDOS-2019,SCH0127,"Supervised model training is reported, but the training partition is not documented in the available section.",No separate validation partition is reported.,"Figure 8 reports model performance, but exact test construction is not documented.",reported_evaluation_split_unknown,partition_details_not_reported,traffic_feature_record,not_reported,eligible,,EVD1732 | EVD1734
DES0056,P16208,security_state_classification,CIC-IDS2017 Wednesday DoS detection,DoS or DDoS attack versus benign,2,binary,DS-CIC-IDS-2017,SCH0128,Four folds are used for model fitting within each five-fold cross-validation iteration.,No separate validation partition is reported.,One fold is used for evaluation within each five-fold cross-validation iteration.,cross_validation,five_fold,traffic_feature_record,sample_folds_after_pooling,eligible,,EVD1732 | EVD1734 | EVD1731
DES0057,P16208,security_state_classification,CIC-IDS2017 Wednesday DoS detection,DoS or DDoS attack versus benign,2,binary,DS-CIC-IDS-2017,SCH0128,"Four fifths of the selected Wednesday, July 5 samples are used for supervised training.",No separate validation partition is reported.,"One fifth of the selected Wednesday, July 5 samples are used for testing.",sample_holdout,four_to_one_partition,traffic_feature_record,sample_level_after_day_selection,eligible,,EVD1730 | EVD1732 | EVD1734
DES0058,P16208,security_state_classification,CSE-CIC-IDS2018 DoS detection,DoS or DDoS attack versus benign,2,binary,DS-CSE-CIC-IDS-2018,SCH0129,Four folds are used for model fitting within each five-fold cross-validation iteration.,No separate validation partition is reported.,One fold is used for evaluation within each five-fold cross-validation iteration.,cross_validation,five_fold,traffic_feature_record,sample_folds_after_pooling,eligible,,EVD1732 | EVD1734 | EVD1731
DES0059,P16208,security_state_classification,CSE-CIC-IDS2018 DoS detection,DoS or DDoS attack versus benign,2,binary,DS-CSE-CIC-IDS-2018,SCH0129,"Supervised model training is reported, but the training partition is not documented in the available section.",No separate validation partition is reported.,"Figure 8 reports model performance, but exact test construction is not documented.",reported_evaluation_split_unknown,partition_details_not_reported,traffic_feature_record,not_reported,eligible,,EVD1732 | EVD1734
DES0060,P16208,security_state_classification,CICIoT2023 DDoS detection,DDoS attack versus benign,2,binary,DS-CIC-IOT-2023,SCH0130,Four folds are used for model fitting within each five-fold cross-validation iteration.,No separate validation partition is reported.,One fold is used for evaluation within each five-fold cross-validation iteration.,cross_validation,five_fold,traffic_feature_record,sample_folds_after_pooling,eligible,,EVD1732 | EVD1734 | EVD1731
DES0061,P16208,security_state_classification,CICIoT2023 DDoS detection,DDoS attack versus benign,2,binary,DS-CIC-IOT-2023,SCH0130,"Supervised model training is reported, but the training partition is not documented in the available section.",No separate validation partition is reported.,"Figure 8 reports model performance, but exact test construction is not documented.",reported_evaluation_split_unknown,partition_details_not_reported,traffic_feature_record,not_reported,eligible,,EVD1732 | EVD1734
DES0062,P16208,security_state_classification,IoT23 malicious traffic detection,Malicious versus benign IoT traffic,2,binary,DS-IOT-23,SCH0131,Four folds are used for model fitting within each five-fold cross-validation iteration.,No separate validation partition is reported.,One fold is used for evaluation within each five-fold cross-validation iteration.,cross_validation,five_fold,traffic_feature_record,sample_folds_after_pooling,eligible,,EVD1732 | EVD1734 | EVD1731
DES0063,P16208,security_state_classification,IoT23 malicious traffic detection,Malicious versus benign IoT traffic,2,binary,DS-IOT-23,SCH0131,"Supervised model training is reported, but the training partition is not documented in the available section.",No separate validation partition is reported.,"Figure 8 reports model performance, but exact test construction is not documented.",reported_evaluation_split_unknown,partition_details_not_reported,traffic_feature_record,not_reported,eligible,,EVD1732 | EVD1734
DES0064,P16208,security_state_classification,Simulated flood traffic detection in a Spine-Leaf deployment,"iperf normal traffic versus hping3 SYN, UDP, or ICMP flood traffic",2,binary,DS-P16208-SISTAR-IPERF-HPING3,SCH0132,The previously trained distributed SISTAR models are deployed at gateway and spine nodes. The exact training source for this deployment result is not separately documented.,No separate validation partition is reported for this deployment evaluation.,"The self-generated stream contains iperf normal workloads and hping3 SYN, UDP, and ICMP floods at a benign-to-attack ratio of one to three.",self_generated_deployment_evaluation,miniature_spine_leaf_topology,packet_traffic_stream,not_reported,eligible,,EVD1735 | EVD1736
DES0065,P16208,security_state_classification,UNSW-NB15 DoS detection,DoS attack versus benign,2,binary,DS-UNSW-NB15,SCH0133,Four folds are used for model fitting within each five-fold cross-validation iteration.,No separate validation partition is reported.,One fold is used for evaluation within each five-fold cross-validation iteration.,cross_validation,five_fold,traffic_feature_record,sample_folds_after_pooling,eligible,,EVD1732 | EVD1734 | EVD1731
DES0066,P16208,security_state_classification,UNSW-NB15 DoS detection,DoS attack versus benign,2,binary,DS-UNSW-NB15,SCH0133,"Supervised model training is reported, but the training partition is not documented in the available section.",No separate validation partition is reported.,"Figure 8 reports model performance, but exact test construction is not documented.",reported_evaluation_split_unknown,partition_details_not_reported,traffic_feature_record,not_reported,eligible,,EVD1732 | EVD1734
DES0067,P16248,security_state_classification,Android malware detection,benign versus Android malware traffic,2,binary,DS-CIC-ANDMAL-2017,SCH0144,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0068,P16248,security_state_classification,intrusion detection,benign versus intrusion traffic,2,binary,DS-CIC-IDS-2017,SCH0145,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0069,P16248,security_state_classification,intrusion detection,benign versus intrusion traffic,2,binary,DS-CSE-CIC-IDS-2018,SCH0146,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0070,P16248,security_state_classification,botnet detection,benign versus botnet traffic,2,binary,DS-CTU-13,SCH0147,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0071,P16248,security_state_classification,distributed denial-of-service attack detection,benign versus distributed denial-of-service attack traffic,2,binary,DS-CIC-DDOS-2019,SCH0148,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0072,P16248,security_state_classification,malicious DoH detection,benign versus malicious DoH traffic,2,binary,DS-CIRA-CIC-DOHBRW-2020,SCH0149,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0073,P16248,security_state_classification,advanced attack detection,benign versus advanced attack,2,binary,DS-HYPERVISION,SCH0150,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0074,P16248,security_state_classification,flooding attack detection,benign versus flooding attack,2,binary,DS-HYPERVISION,SCH0151,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0075,P16248,security_state_classification,malware traffic detection,benign versus malware traffic,2,binary,DS-HYPERVISION,SCH0152,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0076,P16248,security_state_classification,probing attack detection,benign versus probing attack,2,binary,DS-HYPERVISION,SCH0153,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0077,P16248,security_state_classification,web attack detection,benign versus web attack,2,binary,DS-HYPERVISION,SCH0154,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0078,P16248,security_state_classification,IoT attack detection,benign versus IoT attack traffic,2,binary,DS-CIC-IOT-2023,SCH0155,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0079,P16248,security_state_classification,SSDP flood detection,benign versus SSDP flood traffic,2,binary,DS-KITSUNE-SSDP-FLOOD,SCH0156,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0080,P16248,security_state_classification,beaconing attack detection,benign versus beaconing attack traffic,2,binary,DS-NETBEACON-TRAFFIC,SCH0157,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
DES0081,P16248,security_state_classification,malicious detection,benign versus malicious traffic,2,binary,DS-WHISPER-MALICIOUS-TRAFFIC,SCH0158,Randomly sampled labeled training subset,Training-set model selection,Remaining pooled benchmark traffic,few_sample_random_holdout,varying_training_ratio,flow,sample_level,eligible,,EVD1740
