condition_decision_id,record_type,decision_record_id,outcome,condition_pair,decision_basis
CI0051,rq2_design,R2D1385,documented_no_holdout,,The design partitions only Tor routes or circuits rather than a qualifying network condition.
CI0052,rq2_design,R2D1466,documented_no_holdout,,The design partitions only simulated network parameters rather than a qualifying network condition.
CI0053,rq2_design,R2D1469,documented_no_holdout,,The design partitions only simulated network parameters rather than a qualifying network condition.
CI0054,rq2_design,R2D1472,documented_no_holdout,,The design partitions only simulated network parameters rather than a qualifying network condition.
CI0055,rq2_design,R2D1475,documented_no_holdout,,The design partitions only simulated network parameters rather than a qualifying network condition.
CI0056,rq2_design,R2D1478,documented_no_holdout,,The design partitions only simulated network parameters rather than a qualifying network condition.
CI0057,rq2_design,R2D1229,not_documented,,The source does not identify whether its different network environments correspond to qualifying physical network values.
CI0058,rq2_design,R2D0251,not_documented,,Distinct corpus provenance does not by itself identify a qualifying physical network contrast.
CI0059,rq2_design,R2D0257,not_documented,,Distinct corpus provenance does not by itself identify a qualifying physical network contrast.
CI0060,rq2_design,R2D0254,not_documented,,Distinct corpus provenance does not by itself identify a qualifying physical network contrast.
CI0061,rq2_design,R2D0260,not_documented,,Distinct corpus provenance does not by itself identify a qualifying physical network contrast.
CI0062,rq2_design,R2D0356,documented_no_holdout,,The design changes only simulated bandwidth congestion within one fixed-access-point testbed.
CI0063,rq2_design,R2D0440,documented_no_holdout,,The design groups generated scenarios and replayed traffic sources rather than a qualifying network condition.
CI0064,rq2_design,R2D0443,documented_no_holdout,,The design groups generated scenarios and replayed traffic sources rather than a qualifying network condition.
CI0065,rq2_design,R2D0446,documented_no_holdout,,The design groups generated scenarios and replayed traffic sources rather than a qualifying network condition.
CI0066,rq2_design,R2D0449,documented_no_holdout,,The design groups generated scenarios and replayed traffic sources rather than a qualifying network condition.
CI0067,rq1_scheme,R1S0577,not_documented,,"The paper identifies five volunteers but does not document differences in hardware, operating system, application, browser, library, or execution environment among them."
CI0068,rq1_scheme,R1S0580,not_documented,,"The paper identifies five volunteers but does not document differences in hardware, operating system, application, browser, library, or execution environment among them."
CI0069,rq1_scheme,R1S0583,not_documented,,"The paper identifies five volunteers but does not document differences in hardware, operating system, application, browser, library, or execution environment among them."
CI0070,rq1_scheme,R1S0766,not_documented,,The human corpus identifies five volunteers but does not document qualifying client-configuration differences among them.
CI0071,rq1_scheme,R1S0769,not_documented,,The human corpus identifies five volunteers but does not document qualifying client-configuration differences among them.
CI0072,rq1_scheme,R1S1291,documented_no_support,,"The documented contrast changes HTTP cache state within the same Chrome, Linux, and Docker browsing environment rather than the client configuration."
CI0073,rq1_scheme,R1S1294,documented_no_support,,"The documented contrast changes a custom User Agent within the same Chrome, Linux, and Docker browsing environment rather than the client configuration."
CI0074,rq2_design,R2D0460,not_documented,,"The design holds out volunteer identity, but the paper does not report qualifying client-configuration membership for the volunteers."
CI0075,rq2_design,R2D0463,not_documented,,"The design holds out volunteer identity, but the paper does not report qualifying client-configuration membership for the volunteers."
CI0076,rq2_design,R2D1603,documented_no_holdout,,"The design partitions HTTP cache state within the same Chrome, Linux, and Docker environment rather than a client condition."
CI0077,rq2_design,R2D1609,documented_no_holdout,,"The design partitions a spoofed User Agent within the same Chrome, Linux, and Docker environment rather than a client condition."
