dataset_id,canonical_name,origin_type,collection_years,capture_provenance,dataset_boundary_basis,canonical_citation_key,canonical_citation,doi,canonical_url,identity_confidence,paper_ids,scheme_ids,use_ids,evidence_ids
DS-CIC-INVES-ANDMAL-2019,CICInvesAndMal2019,external_reused,,"Traffic and device logs from 5,065 benign and 426 malicious Android apps executed on real devices, malware spans 39 families. || Android malware network-flow corpus introduced by Taheri et al.",Retained as a separately named or independently provenanced traffic corpus.,taheri2019cicinvesandmal,"Laya Taheri, Andi Fitriah Abdul Kadir, and Arash Habibi Lashkari. 2019. Extensible Android Malware Detection and Family Classification Using Network-Flows and API-Calls. In ICCST. IEEE, 1-8.",,https://www.unb.ca/cic/datasets/invesandmal2019.html,high,P17269 | P18222 | P39015,SCH0186 | SCH0190 | SCH0467 | SCH0472 | SCH0473,USE0111 | USE0289 | USE0293,EVD0509 | EVD0623 | EVD0736 | EVD0876 | EVD1141 | EVD1164 | EVD1763 | EVD1764 | EVD1985 | EVD1989 | EVD2417 | EVD2418 | EVD2419 | EVD2420 | EVD2421 | EVD2422 | EVD2423 | EVD2424 | EVD2425 | EVD2426 | EVD2427 | EVD2428 | EVD2429 | EVD2430 | EVD2443 | EVD2444 | EVD2445 | EVD2446 | EVD2447 | EVD2448 | EVD2455 | EVD2456 | EVD2457 | EVD2458 | EVD2459 | EVD2460
DS-CIC-IOT-2022,CICIoT2022,external_reused,,"CICIoT2022 IoT traffic corpus, evaluated papers use subsets, label views, and transformations of the same packet pool. AN-Net specifically selects PCAPs from the official 5-Active directory.",Retained as a separately named or independently provenanced traffic corpus.,dadkhah2022ciciot2022,"Sajjad Dadkhah, Hassan Mahdikhani, Priscilla Kyei Danso, Alireza Zohourian, Kevin Anh Truong, and Ali A. Ghorbani. 2022. Towards the Development of a Realistic Multidimensional IoT Profiling Dataset. PST.",10.1109/PST55820.2022.9851966,https://doi.org/10.1109/PST55820.2022.9851966,high,P07480 | P11328 | P13076 | P38761 | P39771,SCH0003 | SCH0007 | SCH0024 | SCH0235 | SCH0259,USE0006 | USE0010 | USE0019 | USE0151 | USE0171,EVD0514 | EVD0576 | EVD0605 | EVD0712 | EVD0784 | EVD0826 | EVD0844 | EVD0880 | EVD0889 | EVD0891 | EVD1171 | EVD1689 | EVD1690 | EVD1691 | EVD1883 | EVD1893 | EVD2040 | EVD2074
DS-CIC-IOT-2023,CICIoT2023,external_reused,,Large-scale IoT attack traffic capture introduced by Neto et al.,Retained as a separately named or independently provenanced traffic corpus.,neto2023ciciot2023,"E. C. P. Neto, S. Dadkhah, R. Ferreira, A. Zohourian, R. Lu, and A. A. Ghorbani. 2023. CICIoT2023: A Real-Time Dataset and Benchmark for Large-Scale Attacks in IoT Environment. Sensors 23(13):5941.",,https://www.unb.ca/cic/datasets/iotdataset-2023.html,high,P12435 | P16208 | P16248,SCH0021 | SCH0130 | SCH0155,USE0015 | USE0076 | USE0093,EVD0554 | EVD0824 | EVD0843 | EVD1732 | EVD1734 | EVD1738 | EVD1739 | EVD1740 | EVD1741 | EVD1892
DS-CIRA-CIC-DOHBRW-2020,CIRA-CIC-DoHBrw-2020,external_reused,,CIRA-CIC-DoHBrw-2020 contains 2 retained traffic components.,"Rosetta's DoHBrw-NetEnv traces replay the CIRA-CIC-DoHBrw-2020 source under network environments, the replay is a transformed corpus view rather than another source dataset.",montazeri2020doh,"L. MontazeriShatoori et al. 2020. Detection of DoH tunnels using time-series classification of encrypted traffic. In IEEE DASC, 63-70.",,https://www.usenix.org/conference/usenixsecurity23/presentation/xie,high,P16247 | P16248 | P18222 | P39111 | P43001 | P43680,SCH0149 | SCH0338 | SCH0454 | SCH0468 | SCH0477 | SCH0487,USE0087 | USE0220 | USE0282 | USE0290 | USE0295 | USE0304,EVD0608 | EVD0640 | EVD0881 | EVD1154 | EVD1169 | EVD1738 | EVD1739 | EVD1740 | EVD1741 | EVD1865 | EVD1869 | EVD2286 | EVD2287 | EVD2288 | EVD2289 | EVD2290 | EVD2291 | EVD2410 | EVD2411 | EVD2412 | EVD2413 | EVD2414 | EVD2415 | EVD2416 | EVD2424 | EVD2425 | EVD2426 | EVD2427 | EVD2428 | EVD2429 | EVD2430 | EVD2467 | EVD2468 | EVD2469 | EVD2470 | EVD2471 | EVD2472 | EVD2569 | EVD2570 | EVD2571 | EVD2572 | EVD2573 | EVD2574
DS-CROSS-PLATFORM-2017,Cross-Platform mobile-app traffic corpus,external_reused,,Cross-Platform mobile-app traffic corpus contains 2 retained traffic components.,Android and iOS are platform components of the same Cross-Platform release.,ren2019crossplatform,"Jingjing Ren, Daniel J. Dubois, and David Choffnes. 2019. An International View of Privacy Risks for Mobile Apps. Northeastern University technical report.",,https://recon.meddle.mobi/papers/cross-market.pdf,high,P07480 | P12435 | P14774 | P17818 | P35345 | P39064 | P41766 | P45261 | P46427,SCH0004 | SCH0019 | SCH0023 | SCH0080 | SCH0197 | SCH0200 | SCH0201 | SCH0230 | SCH0247 | SCH0279 | SCH0281 | SCH0354 | SCH0370,USE0002 | USE0013 | USE0037 | USE0119 | USE0143 | USE0157 | USE0184 | USE0228 | USE0239,EVD0471 | EVD0474 | EVD0476 | EVD0479 | EVD0502 | EVD0573 | EVD0681 | EVD0752 | EVD0786 | EVD0814 | EVD0837 | EVD0850 | EVD0861 | EVD0865 | EVD0868 | EVD0869 | EVD0872 | EVD1159 | EVD1160 | EVD1166 | EVD1180 | EVD1183 | EVD1185 | EVD1884 | EVD1890 | EVD1891 | EVD1939 | EVD1940 | EVD2008 | EVD2013 | EVD2015 | EVD2016 | EVD2033 | EVD2057 | EVD2096 | EVD2097 | EVD2153 | EVD2177
DS-CROSSNET-2021,CrossNet2021,external_reused,,Cross-network traffic corpus associated with the ProGraph work.,Retained as a separately named or independently provenanced traffic corpus.,li2023prograph,"Wenhao Li, Xiaoyu Zhang, Huaifeng Bao, Haichao Shi, and Qiang Wang. 2023. ProGraph: Robust Network Traffic Identification With Graph Propagation. IEEE/ACM Transactions on Networking 31(3), 1385-1399.",10.1109/TNET.2022.3216603,https://doi.org/10.1109/TNET.2022.3216603,medium,P47085,SCH0390 | SCH0391 | SCH0394,USE0251,EVD0795 | EVD0800 | EVD0835 | EVD0842 | EVD1142 | EVD2190 | EVD2194 | EVD2197
DS-CSE-CIC-IDS-2018,CSE-CIC-IDS2018,external_reused,2018,CIC intrusion traffic corpus described by Sharafaldin et al. || Canadian Institute for Cybersecurity 2018 intrusion-traffic capture. NF-CSE-CIC-IDS2018-V2 is a NetFlow feature representation of this same packet provenance.,Retained as a separately named or independently provenanced traffic corpus.,cse_cic2018ids,Communications Security Establishment and Canadian Institute for Cybersecurity. 2018. CSE-CIC-IDS2018 on AWS.,,https://www.unb.ca/cic/datasets/ids-2018.html,high,P15558 | P16208 | P16248 | P18222 | P26148 | P39064 | P46578 | P47085,SCH0097 | SCH0129 | SCH0146 | SCH0225 | SCH0246 | SCH0386 | SCH0395 | SCH0469,USE0055 | USE0079 | USE0097 | USE0142 | USE0161 | USE0249 | USE0254 | USE0291,EVD0562 | EVD0601 | EVD0658 | EVD0660 | EVD0739 | EVD0839 | EVD0879 | EVD0890 | EVD1139 | EVD1150 | EVD1155 | EVD1710 | EVD1711 | EVD1712 | EVD1714 | EVD1732 | EVD1734 | EVD1738 | EVD1739 | EVD1740 | EVD1741 | EVD1802 | EVD1805 | EVD1812 | EVD1813 | EVD2052 | EVD2186 | EVD2195 | EVD2196 | EVD2198 | EVD2417 | EVD2418 | EVD2419 | EVD2420 | EVD2421 | EVD2422 | EVD2423 | EVD2424 | EVD2425 | EVD2426 | EVD2427 | EVD2428 | EVD2429 | EVD2430
DS-CSTNET-TLS13-2021,CSTNET-TLS 1.3,self_collected,2021,"46,372 TLS 1.3 flows from 120 applications captured under CSTNET from March-July 2021 and labeled with SNI. || TLS 1.3 website/application traffic captured under CSTNET for 120 classes and released through the ET-BERT lineage.",Retained as a separately named or independently provenanced traffic corpus.,DBLP:conf/www/LinXGLSY22,Xinjie Lin; Gang Xiong; Gaopeng Gou; Zhen Li; Junzheng Shi; Jing Yu. 2022. ET-BERT: A Contextualized Datagram Representation with Pre-training Transformers for Encrypted Traffic Classification. The Web Conference (WWW).,10.1145/3485447.3512217,https://doi.org/10.1145/3485447.3512217,high,P16071 | P39804 | P41766 | P45261,SCH0116 | SCH0484 | SCH0485 | SCH0493,USE0064 | USE0301 | USE0302 | USE0308,EVD0546 | EVD0642 | EVD0753 | EVD0783 | EVD0823 | EVD0873 | EVD1147 | EVD1174 | EVD1182 | EVD1718 | EVD1720 | EVD1721 | EVD2527 | EVD2528 | EVD2529 | EVD2530 | EVD2531 | EVD2532 | EVD2533 | EVD2534 | EVD2535 | EVD2536 | EVD2537 | EVD2538 | EVD2539 | EVD2540 | EVD2541 | EVD2542 | EVD2543 | EVD2544 | EVD2545 | EVD2546 | EVD2547 | EVD2548 | EVD2549 | EVD2550 | EVD2593 | EVD2594 | EVD2595 | EVD2596 | EVD2597 | EVD2598
DS-CTU-13,CTU-13,external_reused,,Thirteen botnet scenarios captured at CTU and released through the Malware Capture Facility Project.,Retained as a separately named or independently provenanced traffic corpus.,garcia2014ctu13,"Sebastian Garcia, Martin Grill, Jan Stiborek, and Alejandro Zunino. 2014. An empirical comparison of botnet detection methods. Computers & Security 45, 100-123.",,https://www.stratosphereips.org/datasets-ctu13,high,P13883 | P16248 | P16406 | P26148,SCH0029 | SCH0147 | SCH0165 | SCH0166 | SCH0167 | SCH0168 | SCH0169 | SCH0170 | SCH0226,USE0021 | USE0091 | USE0101 | USE0138,EVD0525 | EVD0825 | EVD0840 | EVD1158 | EVD1639 | EVD1641 | EVD1647 | EVD1648 | EVD1649 | EVD1650 | EVD1651 | EVD1652 | EVD1696 | EVD1738 | EVD1739 | EVD1740 | EVD1741 | EVD1749 | EVD1802 | EVD1806 | EVD1812 | EVD1813 | EVD1898
DS-CTU-NORMAL-MALPHASE,MalPhase-selected Stratosphere normal traffic,external_reused,,Normal packet captures downloaded from the Stratosphere Malware Capture Facility Project.,Retained as a separately named or independently provenanced traffic corpus.,DBLP:conf/asiaccs/PiskozubGBMM21,Michal Piskozub; Fabio De Gaspari; Frederick Barr-Smith; Luigi V. Mancini; Ivan Martinovic. 2021. MalPhase: Fine-Grained Malware Detection Using Network Flow Data. AsiaCCS.,10.1145/3433210.3453101,https://doi.org/10.1145/3433210.3453101,low,P14000,SCH0038 | SCH0039 | SCH0042 | SCH0043 | SCH0044 | SCH0051,USE0027,EVD0711 | EVD0859 | EVD1901 | EVD1902 | EVD1903 | EVD1904 | EVD1905 | EVD1906
DS-DATACON-2020-ENCRYPTED-MALWARE,DataCon2020 Encrypted Malicious Traffic Dataset,external_reused,2020,TLS and SSL traffic generated by malware and normal executable software in the Tianqiong sandbox.,Retained as the separately named DataCon2020 release.,datacon2020_encrypted_malware,DataCon Community. 2020. DataCon2020 Encrypted Malicious Traffic Dataset.,,https://datacon.qianxin.com/opendata/openpage?resourcesId=6,high,P16071,SCH0117,USE0063,EVD1718 | EVD1720 | EVD1721
DS-DATACON-2021-ENCRYPTED-PROXY,DataCon2021 Encrypted Proxy Traffic Dataset,external_reused,2021,Traffic generated by automated website access through encrypted proxy software.,The coordinated DataCon2021 release contains p1 proxy-software and p2 website-identification partitions and is retained as one canonical dataset.,datacon2021_encrypted_proxy,DataCon Community. 2021. DataCon2021 Encrypted Proxy Traffic Dataset.,,https://datacon.qianxin.com/opendata/openpage?resourcesId=10,high,P16071,SCH0118 | SCH0119,USE0062,EVD1718 | EVD1720 | EVD1721
DS-DEEPVC-ALEXA-2019,Kennedy/DeepVC Alexa voice-command traffic corpus,external_reused,,The 100-command Alexa capture introduced by Kennedy et al. and reused by the Wang et al. DeepVC follow-up.,Retained as a separately named or independently provenanced traffic corpus.,wang2020deepvc,"Chenggang Wang, Sean Kennedy, Haipeng Li, King Hudson, Gowtham Atluri, Xuetao Wei, Wenhai Sun, and Boyang Wang. 2020. Fingerprinting Encrypted Voice Traffic on Smart Speakers with Deep Learning. WiSec, 254-265.",10.1145/3395351.3399357,https://doi.org/10.1145/3395351.3399357,medium,P14374 | P43021,SCH0063 | SCH0324,USE0032 | USE0212,EVD0485 | EVD0518 | EVD0858 | EVD1138 | EVD1165 | EVD1914 | EVD2125
DS-DELTASHAPER-COVERT-TRAFFIC,DeltaShaper covert traffic corpus,external_reused,,Covert and legitimate traffic benchmark released with DeltaShaper.,Retained as a named independently provenanced corpus.,,,,,high,P17899,SCH0206,USE0126,EVD1766 | EVD1767 | EVD1768 | EVD1769
DS-DF-2017,Deep Fingerprinting corpus,external_reused,2017,Deep Fingerprinting corpus contains 2 retained traffic components.,The ordinary and Walkie-Talkie traffic pools belong to the same Deep Fingerprinting release; the defended view does not create another source dataset.,sirinam2018df,"Payap Sirinam, Mohsen Imani, Marc Juarez, and Matthew Wright. 2018. Deep Fingerprinting: Undermining Website Fingerprinting Defenses with Deep Learning. In Proceedings of the 2018 ACM SIGSAC Conference on Computer and Communications Security (CCS), 1928-1943.",,https://zenodo.org/records/11631265,high,P15762 | P16217 | P16247 | P41557 | P43026 | P46522 | P48205 | P48207 | P48246,SCH0110 | SCH0134 | SCH0137 | SCH0143 | SCH0273 | SCH0329 | SCH0330 | SCH0374 | SCH0375 | SCH0384 | SCH0409 | SCH0411 | SCH0414,USE0057 | USE0082 | USE0086 | USE0182 | USE0215 | USE0247 | USE0260 | USE0263 | USE0267,EVD0453 | EVD0459 | EVD0483 | EVD0489 | EVD0519 | EVD0529 | EVD0577 | EVD0638 | EVD0639 | EVD0749 | EVD0769 | EVD0803 | EVD0820 | EVD0828 | EVD0829 | EVD0831 | EVD0838 | EVD0860 | EVD0863 | EVD0867 | EVD0871 | EVD0875 | EVD0883 | EVD0897 | EVD1161 | EVD1172 | EVD1181 | EVD1202 | EVD1957 | EVD1962 | EVD1963 | EVD1968 | EVD2091 | EVD2133 | EVD2135 | EVD2137 | EVD2138 | EVD2139 | EVD2179 | EVD2183 | EVD2184 | EVD2219 | EVD2222 | EVD2223 | EVD2229
DS-DYNAFLOW-LU-2018-SOURCE,DynaFlow website-fingerprinting corpus,external_reused,,Tor website traces released for the DynaFlow defense evaluation.,Retained as a separately named or independently provenanced traffic corpus.,lu2018dynaflow,"David Lu, Sanjit Bhat, Albert Kwon, and Srinivas Devadas. 2018. DynaFlow: An Efficient Website Fingerprinting Defense Based on Dynamically-Adjusting Flows. WPES.",10.1145/3267323.3268960,https://doi.org/10.1145/3267323.3268960,high,P48207,SCH0413,USE0264,EVD0595 | EVD0864 | EVD2225
DS-FACET-COVERT-TRAFFIC,Facet covert traffic corpus,external_reused,,Covert and legitimate traffic benchmark released with Facet.,Retained as a named independently provenanced corpus.,,,,,high,P17899,SCH0207,USE0124,EVD1766 | EVD1767 | EVD1768 | EVD1769
DS-FG-NET,FG-Net,external_reused,2020,FG-Net contains 2 retained traffic components.,D1 and D2 are temporal/data partitions within the FG-Net release.,jiang2022fgnet,"Minghao Jiang, Zhen Li, Peipei Fu, Wei Cai, Mingxin Cui, Gang Xiong, and Gaopeng Gou. 2022. Accurate Mobile-App Fingerprinting Using Flow-Level Relationship with Graph Neural Networks. Computer Networks 217, 109309.",10.1016/j.comnet.2022.109309,https://doi.org/10.1016/j.comnet.2022.109309,high,P17323,SCH0193,USE0117,EVD0610 | EVD0781 | EVD0816 | EVD0822 | EVD0848 | EVD1995
DS-FRGP-MIRAI-2016,FRGP Mirai scanning source list,external_reused,2016,Mirai source-address observations used to draw attack source sets.,Independently named source with distinct provenance.,ds_frgp_mirai_2016,LANDER Mirai FRGP scanning trace from 8 September 2016.,,https://www.caida.org/catalog/datasets/telescope-lander/,high,,,,EVD1848
DS-GRESCHBACH-DNS-TOR-UNMONITORED,Greschbach et al. Tor DNS open-world corpus,external_reused,,Large Tor website/open-world traffic collection accompanying the cited study of DNS effects on Tor anonymity.,Retained as a separately named or independently provenanced traffic corpus.,greschbach2017dns,"Benjamin Greschbach, Tobias Pulls, Laura M. Roberts, Philipp Winter, and Nick Feamster. 2017. The Effect of DNS on Tor's Anonymity. NDSS.",10.14722/ndss.2017.23311,https://doi.org/10.14722/ndss.2017.23311,high,P48207,SCH0412,USE0262,EVD0585 | EVD1151 | EVD1879 | EVD2226
DS-HERRMANN-OPENSSH-WF,Herrmann OpenSSH website fingerprinting corpus,external_reused,,Website traces carried through OpenSSH and released for website fingerprinting.,Retained as a named independently provenanced corpus.,,,,,high,P17899,SCH0208,USE0127,EVD1766 | EVD1767 | EVD1768 | EVD1769
DS-HYPERVISION,HyperVision traffic corpus,external_reused,,Traffic benchmark released with HyperVision and reused for multiple binary attack tasks.,The six Exosphere tasks and five tFusion tasks are label views of the same released sample provenance.,,,,,high,P15558 | P16248,SCH0100 | SCH0101 | SCH0102 | SCH0103 | SCH0104 | SCH0105 | SCH0150 | SCH0151 | SCH0152 | SCH0153 | SCH0154,USE0052 | USE0094,EVD1710 | EVD1711 | EVD1712 | EVD1714 | EVD1738 | EVD1739 | EVD1740 | EVD1741
DS-IEEE-IOT-INTRUSION,IEEE IoT Network Intrusion Dataset,external_reused,2019,IEEE Dataport IoT packet capture with supplied Wireshark filters for malicious and benign packets.,Retained as the named IEEE IoT source corpus.,p16406,Lumen: a framework for developing and evaluating ML-based IoT network anomaly detection.,10.1145/3555050.3569129,https://doi.org/10.1145/3555050.3569129,high,P16406,SCH0171,USE0103,EVD1640 | EVD1642 | EVD1653 | EVD1750
DS-IOT-23,IoT-23,external_reused,2018 | 2019,Twenty-three labeled IoT network traffic scenarios released by the Stratosphere Laboratory.,Retained as the separately named IoT-23 release.,garcia2020iot23,"Sebastian Garcia, Agustin Parmisano, and Maria Jose Erquiaga. 2020. IoT-23: A Labeled Dataset with Malicious and Benign IoT Network Traffic.",,https://www.stratosphereips.org/datasets-iot23,high,P16208,SCH0131,USE0074,EVD1732 | EVD1733 | EVD1734
DS-IOT-SENTINEL-2017,IoT Sentinel,external_reused,,IoT device setup traffic collected for Miettinen et al.'s IoT Sentinel study.,Retained as a separately named or independently provenanced traffic corpus.,miettinen2017iotsentinel,Markus Miettinen et al. 2017. IoT Sentinel: Automated device-type identification for security enforcement in IoT. In IEEE ICDCS.,,https://github.com/andypitcher/IoT_Sentinel,high,P42690,SCH0318,USE0208,EVD0679 | EVD0847 | EVD2120
DS-ISCX-IDS-2012,ISCX IDS 2012,external_reused,2012,UNB/ISCX 2012 intrusion-detection network traffic capture.,Retained as a separately named or independently provenanced traffic corpus.,shiravi2012iscx,"Ali Shiravi, Hadi Shiravi, Mahbod Tavallaee, and Ali A. Ghorbani. 2012. Toward Developing a Systematic Approach to Generate Benchmark Datasets for Intrusion Detection. Computers & Security 31(3), 357-374.",10.1016/j.cose.2011.12.012,https://doi.org/10.1016/j.cose.2011.12.012,high,P44356,SCH0347,USE0227,EVD0729 | EVD0833 | EVD0887 | EVD2144
