rq1_scheme_decision_id,scheme_id,paper_id,dataset_id,dimension,outcome,condition_pair,complete_class_count,common_pair_class_count,complete_scheme_verified,stable_semantics_verified,condition_membership_recoverable,fresh_parent_traffic_both_values,evidence_ids,decision_basis,confidence
R1S0039,SCH0013,P12361,DS-CIC-IDS-2017,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0040,SCH0014,P12361,DS-CIC-IDS-2017,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0041,SCH0014,P12361,DS-CIC-IDS-2017,network,documented_no_support,,2,,yes,yes,yes,no,EVD1695 | EVD1692 | EVD1694 | EVD1693,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0042,SCH0014,P12361,DS-CIC-IDS-2017,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0043,SCH0015,P12361,DS-CIC-IDS-2017,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0044,SCH0015,P12361,DS-CIC-IDS-2017,network,documented_no_support,,2,,yes,yes,yes,no,EVD1695 | EVD1692 | EVD1694 | EVD1693,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0045,SCH0015,P12361,DS-CIC-IDS-2017,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0046,SCH0016,P12361,DS-CIC-IDS-2017,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0047,SCH0016,P12361,DS-CIC-IDS-2017,network,documented_no_support,,2,,yes,yes,yes,no,EVD1695 | EVD1692 | EVD1694 | EVD1693,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0048,SCH0016,P12361,DS-CIC-IDS-2017,temporal,supported,7 July 2017 firewall-on PortScan block | 7 July 2017 firewall-off PortScan block,2,2,yes,yes,yes,yes,EVD1695 | EVD1692 | EVD1694 | EVD1693,"The official schedule gives non-overlapping PortScan blocks amid Friday normal activity, and labeled flows retain timestamps. Both binary labels are recoverable in each period, with no minimum duration rule.",high
R1S0049,SCH0017,P12361,DS-CIC-IDS-2017,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0050,SCH0017,P12361,DS-CIC-IDS-2017,network,documented_no_support,,2,,yes,yes,yes,no,EVD1695 | EVD1692 | EVD1694 | EVD1693,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0051,SCH0017,P12361,DS-CIC-IDS-2017,temporal,supported,6 July 2017 first Web Attack window | 6 July 2017 second Web Attack window,2,2,yes,yes,yes,yes,EVD1695 | EVD1692 | EVD1694 | EVD1693,"The official schedule gives three non-overlapping Web Attack windows amid Thursday normal activity, and labeled flows retain timestamps. Both binary labels are recoverable in two periods, with stable merged semantics.",high
R1S0052,SCH0018,P12361,DS-UNSW-NB15,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0053,SCH0018,P12361,DS-UNSW-NB15,network,documented_no_support,,2,,yes,yes,yes,no,EVD1695 | EVD1692 | EVD1694 | EVD1693,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0054,SCH0018,P12361,DS-UNSW-NB15,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1695 | EVD1692 | EVD1694 | EVD1693,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0055,SCH0019,P12435,DS-CROSS-PLATFORM-2017,client,not_documented,,196,,yes,unknown,unknown,unknown,EVD0837,"Android/iOS diversity exists globally, but no common application-class mapping across the OS conditions is documented; the 31-app follow-up stack is also unreported.",high
R1S0056,SCH0019,P12435,DS-CROSS-PLATFORM-2017,network,not_documented,,196,,yes,unknown,unknown,unknown,EVD1891,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0057,SCH0019,P12435,DS-CROSS-PLATFORM-2017,temporal,not_documented,,196,,yes,unknown,unknown,unknown,EVD1891,The original Cross-Platform corpus does not document a within-dataset class-overlapping temporal condition map; the later recapture is evaluated only as a cross-dataset protocol.,high
R1S0058,SCH0020,P12435,DS-ISCX-TOR-2016,client,not_documented,,7,,yes,unknown,unknown,unknown,EVD1889,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0059,SCH0020,P12435,DS-ISCX-TOR-2016,network,documented_no_support,,7,,yes,unknown,unknown,unknown,EVD1889,"In this 16-label view, anonymity status is part of the target label rather than an orthogonal network condition.",high
R1S0060,SCH0020,P12435,DS-ISCX-TOR-2016,temporal,not_documented,,7,,yes,unknown,unknown,unknown,EVD1889,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0061,SCH0021,P12435,DS-CIC-IOT-2023,client,not_documented,,7,,yes,unknown,unknown,unknown,EVD1892,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0062,SCH0021,P12435,DS-CIC-IOT-2023,network,documented_no_support,,7,0,yes,unknown,unknown,unknown,EVD0843,"Device count and attack count do not create independent site, access-network, or provider conditions.",high
R1S0063,SCH0021,P12435,DS-CIC-IOT-2023,temporal,not_documented,,7,,yes,unknown,unknown,unknown,EVD1892,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0064,SCH0022,P12435,DS-ISCX-VPN-2016,client,not_documented,,6,,yes,unknown,unknown,unknown,EVD1888,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0065,SCH0022,P12435,DS-ISCX-VPN-2016,network,not_documented,,6,,yes,unknown,unknown,unknown,EVD1888,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0066,SCH0022,P12435,DS-ISCX-VPN-2016,temporal,not_documented,,6,,yes,unknown,unknown,unknown,EVD1888,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0067,SCH0023,P12435,DS-CROSS-PLATFORM-2017,client,not_documented,,212,,yes,unknown,unknown,unknown,EVD0837,"Android/iOS diversity exists globally, but no common application-class mapping across the OS conditions is documented; the 31-app follow-up stack is also unreported.",high
R1S0068,SCH0023,P12435,DS-CROSS-PLATFORM-2017,network,not_documented,,212,,yes,unknown,unknown,unknown,EVD1890,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0069,SCH0023,P12435,DS-CROSS-PLATFORM-2017,temporal,not_documented,,212,,yes,unknown,unknown,unknown,EVD1890,The original Cross-Platform corpus does not document a within-dataset class-overlapping temporal condition map; the later recapture is evaluated only as a cross-dataset protocol.,high
R1S0070,SCH0024,P13076,DS-CIC-IOT-2022,client,documented_no_support,,6,,yes,unknown,unknown,unknown,EVD1893,Device or activity identity defines the target label in this view; only an orthogonal client property could count.,high
R1S0071,SCH0024,P13076,DS-CIC-IOT-2022,network,not_documented,,6,,yes,unknown,unknown,unknown,EVD1893,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0072,SCH0024,P13076,DS-CIC-IOT-2022,temporal,not_documented,,6,,yes,unknown,unknown,unknown,EVD1893,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0073,SCH0025,P13076,DS-ISCX-TOR-2016,client,not_documented,,8,,yes,unknown,unknown,unknown,EVD1897,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0074,SCH0025,P13076,DS-ISCX-TOR-2016,network,documented_no_support,,8,0,yes,yes,yes,unknown,EVD0827,The documented contrast changes only a Tor overlay and does not establish two qualifying physical network values.,high
R1S0075,SCH0025,P13076,DS-ISCX-TOR-2016,temporal,not_documented,,8,,yes,unknown,unknown,unknown,EVD1897,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0076,SCH0026,P13076,DS-ISCX-VPN-2016,client,not_documented,,6,,yes,unknown,unknown,unknown,EVD1895,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0077,SCH0026,P13076,DS-ISCX-VPN-2016,network,not_documented,,6,,yes,unknown,unknown,unknown,EVD1895,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0078,SCH0026,P13076,DS-ISCX-VPN-2016,temporal,not_documented,,6,,yes,unknown,unknown,unknown,EVD1895,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0079,SCH0027,P13076,DS-ISCX-TOR-2016,client,not_documented,,8,,yes,unknown,unknown,unknown,EVD1896,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0080,SCH0027,P13076,DS-ISCX-TOR-2016,network,documented_no_support,,8,0,yes,yes,yes,unknown,EVD0827,The documented contrast changes only a Tor overlay and does not establish two qualifying physical network values.,high
R1S0081,SCH0027,P13076,DS-ISCX-TOR-2016,temporal,not_documented,,8,,yes,unknown,unknown,unknown,EVD1896,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0082,SCH0028,P13076,DS-ISCX-VPN-2016,client,not_documented,,6,,yes,unknown,unknown,unknown,EVD1894,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0083,SCH0028,P13076,DS-ISCX-VPN-2016,network,not_documented,,6,,yes,unknown,unknown,unknown,EVD1894,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0084,SCH0028,P13076,DS-ISCX-VPN-2016,temporal,not_documented,,6,,yes,unknown,unknown,unknown,EVD1894,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0085,SCH0031,P13937,DS-KDDCUP-99,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1700 | EVD1697 | EVD1699,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0086,SCH0031,P13937,DS-KDDCUP-99,network,documented_no_support,,2,,yes,yes,yes,no,EVD1700 | EVD1697 | EVD1699,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0087,SCH0031,P13937,DS-KDDCUP-99,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1700 | EVD1697 | EVD1699,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0088,SCH0032,P13937,DS-UNSW-NB15,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1700 | EVD1697 | EVD1699,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0089,SCH0032,P13937,DS-UNSW-NB15,network,documented_no_support,,2,,yes,yes,yes,no,EVD1700 | EVD1697 | EVD1699,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0090,SCH0032,P13937,DS-UNSW-NB15,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1700 | EVD1697 | EVD1699,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0091,SCH0033,P13937,DS-UNSW-NB15,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1700 | EVD1697 | EVD1698,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0092,SCH0033,P13937,DS-UNSW-NB15,network,documented_no_support,,2,,yes,yes,yes,no,EVD1700 | EVD1697 | EVD1698,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0093,SCH0033,P13937,DS-UNSW-NB15,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1700 | EVD1697 | EVD1698,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0094,SCH0034,P13937,DS-UNSW-NB15,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1700 | EVD1697 | EVD1698,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0095,SCH0034,P13937,DS-UNSW-NB15,network,documented_no_support,,2,,yes,yes,yes,no,EVD1700 | EVD1697 | EVD1698,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0096,SCH0034,P13937,DS-UNSW-NB15,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1700 | EVD1697 | EVD1698,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0097,SCH0035,P13937,DS-UNSW-NB15,client,not_documented,,2,,yes,yes,unknown,unknown,EVD1700 | EVD1697 | EVD1698,The available paper and dataset evidence does not map every label to two recoverable client values.,medium
R1S0098,SCH0035,P13937,DS-UNSW-NB15,network,documented_no_support,,2,,yes,yes,yes,no,EVD1700 | EVD1697 | EVD1698,The complete scheme comes from one documented benchmark testbed or capture environment rather than two network values shared by every label.,high
R1S0099,SCH0035,P13937,DS-UNSW-NB15,temporal,not_documented,,2,,yes,yes,unknown,unknown,EVD1700 | EVD1697 | EVD1698,The available paper and dataset evidence does not map every label to two recoverable temporal values.,medium
R1S0100,SCH0036,P13958,DS-P13958-HOMEMOLE,client,documented_no_support,,10,,yes,unknown,unknown,unknown,EVD1899 | EVD1900,The available sources do not document class-to-condition membership well enough to establish dataset-level feasibility.,high
R1S0101,SCH0036,P13958,DS-P13958-HOMEMOLE,network,not_documented,NAPT vs VPN,10,10,yes,unknown,unknown,unknown,EVD0910,"All ten devices are evaluated under NAPT and VPN. This is an overlay/gateway contrast, not access-network/provider diversity.",high
R1S0102,SCH0036,P13958,DS-P13958-HOMEMOLE,temporal,not_documented,,10,,yes,unknown,unknown,unknown,EVD1899 | EVD1900,The available sources do not document class-to-condition membership well enough to establish dataset-level feasibility.,low
R1S0103,SCH0037,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,client,not_documented,,9,,yes,unknown,unknown,unknown,EVD1902,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0104,SCH0037,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,network,not_documented,,9,,yes,unknown,unknown,unknown,EVD1902,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0105,SCH0037,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,temporal,not_documented,,9,,yes,unknown,unknown,unknown,EVD1902,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0106,SCH0041,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,client,not_documented,,15,,yes,unknown,unknown,unknown,EVD1904,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0107,SCH0041,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,network,not_documented,,15,,yes,unknown,unknown,unknown,EVD1904,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0108,SCH0041,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,temporal,not_documented,,15,,yes,unknown,unknown,unknown,EVD1904,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0109,SCH0047,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,client,not_documented,,5,,yes,unknown,unknown,unknown,EVD1901,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0110,SCH0047,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,network,not_documented,,5,,yes,unknown,unknown,unknown,EVD1901,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0111,SCH0047,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,temporal,not_documented,,5,,yes,unknown,unknown,unknown,EVD1901,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0112,SCH0048,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,client,not_documented,,5,,yes,unknown,unknown,unknown,EVD1903,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0113,SCH0048,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,network,not_documented,,5,,yes,unknown,unknown,unknown,EVD1903,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0114,SCH0048,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,temporal,not_documented,,5,,yes,unknown,unknown,unknown,EVD1903,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0115,SCH0050,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,client,not_documented,,6,,yes,unknown,unknown,unknown,EVD1906,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0116,SCH0050,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,network,not_documented,,6,,yes,unknown,unknown,unknown,EVD1906,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0117,SCH0050,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,temporal,not_documented,,6,,yes,unknown,unknown,unknown,EVD1906,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0118,SCH0052,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,client,not_documented,,3,,yes,unknown,unknown,unknown,EVD1905,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0119,SCH0052,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,network,not_documented,,3,,yes,unknown,unknown,unknown,EVD1905,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0120,SCH0052,P14000,DS-MALPHASE-VIRUSTOTAL-SANDBOX-PCAPS,temporal,not_documented,,3,,yes,unknown,unknown,unknown,EVD1905,Class-to-condition mapping was not reported clearly enough to establish coverage.,low
R1S0121,SCH0055,P14188,DS-AWF-2017,client,documented_no_support,,100,0,yes,unknown,unknown,unknown,EVD1145,The corpus varies worker instances but documents one client software/VM configuration.,high
R1S0122,SCH0055,P14188,DS-AWF-2017,network,not_documented,NCM superior vs NCM inferior,100,69,yes,unknown,unknown,unknown,EVD1195,"A paper-selected 69-site subset can be partitioned into superior and inferior NCM groups for every class. NCM is an outcome-derived network-quality composite, not an isolated or operational access-network factor.",high
R1S0123,SCH0055,P14188,DS-AWF-2017,temporal,not_documented,early versus late batch within each 14-day group,100,900,yes,unknown,unknown,unknown,EVD1176,"CW900 is partitionable into class-overlapping early/late samples, but the documented span is far below 3, 6, or 12 months.",high
R1S0124,SCH0056,P14188,DS-P14188-PRIVATE-RELAY-WF-2022,client,documented_no_support,,100,,yes,unknown,unknown,unknown,EVD0914,Physical MacBooks share one reported stack/account.,high
R1S0125,SCH0056,P14188,DS-P14188-PRIVATE-RELAY-WF-2022,network,not_documented,General Location vs Country and Time zone,100,100,yes,unknown,unknown,unknown,EVD0915,"Every website has both PR modes, but this is an overlay/service setting; all traffic uses one campus access network.",high
R1S0126,SCH0056,P14188,DS-P14188-PRIVATE-RELAY-WF-2022,temporal,not_documented,,100,,yes,unknown,unknown,unknown,EVD1909,The available sources do not document class-to-condition membership well enough to establish dataset-level feasibility.,low
R1S0127,SCH0057,P14188,DS-AWF-2017,client,documented_no_support,,100,0,yes,unknown,unknown,unknown,EVD1145,The corpus varies worker instances but documents one client software/VM configuration.,high
