rq2_design_decision_id,design_id,paper_id,scheme_ids,dimension,outcome,condition_pair,complete_scheme_verified,condition_grouping_before_sample_split,parent_captures_disjoint,condition_status,evidence_ids,decision_basis,confidence
R2D0037,DES0013,P12361,SCH0018,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0038,DES0013,P12361,SCH0018,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0039,DES0013,P12361,SCH0018,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1694 | EVD1693,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0040,DES0014,P13937,SCH0031 | SCH0032,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1699,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0041,DES0014,P13937,SCH0031 | SCH0032,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1699,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0042,DES0014,P13937,SCH0031 | SCH0032,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1699,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0043,DES0015,P13937,SCH0033,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1698,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0044,DES0015,P13937,SCH0033,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1698,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0045,DES0015,P13937,SCH0033,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1698,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0046,DES0016,P13937,SCH0034,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1698,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0047,DES0016,P13937,SCH0034,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1698,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0048,DES0016,P13937,SCH0034,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1698,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0049,DES0017,P13937,SCH0035,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1698,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0050,DES0017,P13937,SCH0035,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1698,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0051,DES0017,P13937,SCH0035,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1698,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0052,DES0018,P14441,SCH0076,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1703 | EVD1702,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0053,DES0018,P14441,SCH0076,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1703 | EVD1702,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0054,DES0018,P14441,SCH0076,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1703 | EVD1702,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0055,DES0019,P14441,SCH0077,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1703 | EVD1702,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0056,DES0019,P14441,SCH0077,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1703 | EVD1702,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0057,DES0019,P14441,SCH0077,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1703 | EVD1702,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0058,DES0020,P14955,SCH0088 | SCH0089,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1707,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0059,DES0020,P14955,SCH0088 | SCH0089,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1707,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0060,DES0020,P14955,SCH0088 | SCH0089,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1707,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0061,DES0021,P14955,SCH0088 | SCH0089,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1707,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0062,DES0021,P14955,SCH0088 | SCH0089,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1707,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0063,DES0021,P14955,SCH0088 | SCH0089,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1707,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0064,DES0022,P14955,SCH0088 | SCH0090,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1708,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0065,DES0022,P14955,SCH0088 | SCH0090,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1708,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0066,DES0022,P14955,SCH0088 | SCH0090,temporal,documented_holdout,June through September 2021 versus December 2021,yes,yes,yes,documented_campaign_holdout,EVD1708,The complete binary scheme is trained on the initial campaign and tested on a fresh later campaign with disjoint parent captures.,high
R2D0067,DES0023,P15558,SCH0096,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0068,DES0023,P15558,SCH0096,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0069,DES0023,P15558,SCH0096,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0070,DES0024,P15558,SCH0097,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0071,DES0024,P15558,SCH0097,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0072,DES0024,P15558,SCH0097,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0073,DES0025,P15558,SCH0098,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0074,DES0025,P15558,SCH0098,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0075,DES0025,P15558,SCH0098,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0076,DES0026,P15558,SCH0099 | SCH0100,client,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1713,The cross-dataset deployment does not establish a complete client contrast with matching labels.,medium
R2D0077,DES0026,P15558,SCH0099 | SCH0100,network,documented_holdout,HyperVision benchmark environment versus institutional deployment,yes,yes,yes,documented_cross_network_holdout,EVD1713,The complete binary scheme is trained on HyperVision and tested on an independently captured institutional network deployment.,high
R2D0078,DES0026,P15558,SCH0099 | SCH0100,temporal,not_documented,,yes,unknown,unknown,unknown_not_reported,EVD1713,The cross-dataset deployment does not establish a complete temporal contrast with matching labels.,medium
R2D0079,DES0027,P15558,SCH0100,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0080,DES0027,P15558,SCH0100,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0081,DES0027,P15558,SCH0100,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0082,DES0028,P15558,SCH0101,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0083,DES0028,P15558,SCH0101,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0084,DES0028,P15558,SCH0101,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0085,DES0029,P15558,SCH0102,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0086,DES0029,P15558,SCH0102,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0087,DES0029,P15558,SCH0102,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0088,DES0030,P15558,SCH0103,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0089,DES0030,P15558,SCH0103,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0090,DES0030,P15558,SCH0103,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0091,DES0031,P15558,SCH0104,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0092,DES0031,P15558,SCH0104,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0093,DES0031,P15558,SCH0104,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0094,DES0032,P15558,SCH0105,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0095,DES0032,P15558,SCH0105,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0096,DES0032,P15558,SCH0105,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0097,DES0033,P15558,SCH0106,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0098,DES0033,P15558,SCH0106,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0099,DES0033,P15558,SCH0106,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0100,DES0034,P15558,SCH0107,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0101,DES0034,P15558,SCH0107,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0102,DES0034,P15558,SCH0107,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0103,DES0035,P15558,SCH0108,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0104,DES0035,P15558,SCH0108,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0105,DES0035,P15558,SCH0108,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1712 | EVD1711,The reported design partitions pooled samples or label groups without using temporal membership to define training and testing.,high
R2D0106,DES0036,P16004,SCH0111 | SCH0114,client,not_documented,,unknown,unknown,unknown,not_documented,EVD1636,Client conditions do not determine the reported partition.,high
R2D0107,DES0036,P16004,SCH0111 | SCH0114,network,documented_no_holdout,,yes,no,unknown,documented_no_holdout,EVD1636,Router records are pooled before the chronological split rather than held out by router or network.,high
R2D0108,DES0036,P16004,SCH0111 | SCH0114,temporal,documented_holdout,earlier 70 percent and later 30 percent,yes,yes,yes,documented_holdout,EVD1636,Timestamp order determines the split and the paper states that final attack instances are temporally separate and not continuations.,high
R2D0109,DES0037,P16004,SCH0112,client,not_documented,,unknown,unknown,unknown,not_documented,EVD1637,Client conditions do not determine the reported partition.,high
R2D0110,DES0037,P16004,SCH0112,network,documented_no_holdout,,yes,no,unknown,documented_no_holdout,EVD1637,Router records are pooled before the chronological split rather than held out by router or network.,high
R2D0111,DES0037,P16004,SCH0112,temporal,documented_holdout,earlier 70 percent and later 30 percent,yes,yes,yes,documented_holdout,EVD1637,Timestamp order determines the split and the paper states that final attack instances are temporally separate and not continuations.,high
R2D0112,DES0038,P16004,SCH0113,client,not_documented,,unknown,unknown,unknown,not_documented,EVD1638,Client conditions do not determine the reported partition.,high
R2D0113,DES0038,P16004,SCH0113,network,documented_no_holdout,,yes,no,unknown,documented_no_holdout,EVD1638,Router records are pooled before the chronological split rather than held out by router or network.,high
R2D0114,DES0038,P16004,SCH0113,temporal,documented_holdout,earlier 70 percent and later 30 percent,yes,yes,yes,documented_holdout,EVD1638,Timestamp order determines the split and the paper states that final attack instances are temporally separate and not continuations.,high
R2D0115,DES0039,P16071,SCH0115,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by client membership.,high
R2D0116,DES0039,P16071,SCH0115,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by network membership.,high
R2D0117,DES0039,P16071,SCH0115,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by temporal membership.,high
R2D0118,DES0040,P16071,SCH0116,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by client membership.,high
R2D0119,DES0040,P16071,SCH0116,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by network membership.,high
R2D0120,DES0040,P16071,SCH0116,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by temporal membership.,high
R2D0121,DES0041,P16071,SCH0117,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by client membership.,high
R2D0122,DES0041,P16071,SCH0117,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by network membership.,high
R2D0123,DES0041,P16071,SCH0117,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by temporal membership.,high
R2D0124,DES0042,P16071,SCH0118,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by client membership.,high
R2D0125,DES0042,P16071,SCH0118,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by network membership.,high
R2D0126,DES0042,P16071,SCH0118,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by temporal membership.,high
R2D0127,DES0043,P16071,SCH0119,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by client membership.,high
R2D0128,DES0043,P16071,SCH0119,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by network membership.,high
R2D0129,DES0043,P16071,SCH0119,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by temporal membership.,high
R2D0130,DES0044,P16071,SCH0120,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by client membership.,high
R2D0131,DES0044,P16071,SCH0120,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by network membership.,high
R2D0132,DES0044,P16071,SCH0120,temporal,documented_no_holdout,,yes,no,unknown,not_a_temporal_holdout,EVD1721 | EVD1720 | EVD1719,The balanced flow-level partition follows class filtering and is not defined by temporal membership.,high
R2D0133,DES0045,P16192,SCH0121,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1726 | EVD1725,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0134,DES0045,P16192,SCH0121,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1726 | EVD1725,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0135,DES0045,P16192,SCH0121,temporal,documented_holdout,earlier collection period versus final time segment,yes,yes,yes,documented_temporal_holdout,EVD1726 | EVD1727,Time determines the split before sample selection and the final test interval uses later parent probes.,high
R2D0136,DES0046,P16192,SCH0122,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1726 | EVD1725,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0137,DES0046,P16192,SCH0122,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1726 | EVD1725,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0138,DES0046,P16192,SCH0122,temporal,documented_holdout,earlier collection period versus final time segment,yes,yes,yes,documented_temporal_holdout,EVD1726 | EVD1727,Time determines the split before sample selection and the final test interval uses later parent probes.,high
R2D0139,DES0047,P16192,SCH0123,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1727 | EVD1725,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0140,DES0047,P16192,SCH0123,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1727 | EVD1725,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
R2D0141,DES0047,P16192,SCH0123,temporal,documented_holdout,earlier collection period versus final time segment,yes,yes,yes,documented_temporal_holdout,EVD1726 | EVD1727,Time determines the split before sample selection and the final test interval uses later parent probes.,high
R2D0142,DES0048,P16192,SCH0123,client,documented_no_holdout,,yes,no,unknown,not_a_client_holdout,EVD1726 | EVD1725,The reported design partitions pooled samples or label groups without using client membership to define training and testing.,high
R2D0143,DES0048,P16192,SCH0123,network,documented_no_holdout,,yes,no,unknown,not_a_network_holdout,EVD1726 | EVD1725,The reported design partitions pooled samples or label groups without using network membership to define training and testing.,high
